year,geography,area_fips,area_title,industry_code,industry_title,own_code,own_title,agglvl_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2005,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,362,5130,150089156,563,29258
2006,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,354,5185,156502039,580,30182
2007,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,381,4977,165979837,641,33349
2008,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,367,5187,169631214,629,32702
2009,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,376,5611,200666684,688,35764
2010,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,370,5893,211004003,689,35807
2011,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,376,5975,207234633,667,34685
2012,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,376,5592,203928892,701,36465
2013,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,383,5883,223679246,731,38020
2014,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,403,5935,237472321,769,40013
2015,TX_state,48000,Texas -- Statewide,7111,Performing arts companies,5,Private,56,,404,6297,242063776,739,38443
2016,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,428,6699,258880288,743,38642
2017,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,440,7057,278265344,758,39429
2018,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,452,7324,276713093,727,37780
2019,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,470,7262,290148684,768,39956
2020,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,474,4807,208736186,835,43424
2021,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,471,5265,241457424,882,45862
2022,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,513,7518,333473348,853,44358
2023,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,550,7802,419413349,1034,53755
2024,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,576,7808,439485395,1082,56288
2025,TX_state,48000,Texas -- Statewide,7111,NAICS 7111 Performing arts companies,5,Private,56,,596,8022,381302605,914,47534
2001,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,53,856,18680445,420,21834
2002,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,51,754,18404398,469,24404
2003,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,48,666,16747171,484,25143
2004,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,45,620,15524450,482,25060
2005,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,38,595,14600376,472,24559
2006,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,38,559,15177112,522,27134
2007,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,40,590,16203713,529,27483
2008,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,44,733,20173562,530,27534
2009,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,46,707,20355896,554,28799
2010,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,47,727,21598765,571,29716
2011,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,50,734,20800249,545,28341
2012,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,53,731,22233365,585,30398
2013,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,56,797,23878536,576,29951
2014,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,61,869,26964362,596,31014
2015,Travis_County,48453,"Travis County, Texas",7111,Performing arts companies,5,Private,76,,69,945,29015165,591,30707
2016,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,74,958,30121166,605,31447
2017,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,75,975,34522944,681,35399
2018,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,75,963,32778792,655,34053
2019,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,73,947,35330470,717,37301
2020,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,74,583,22716503,749,38943
2021,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,75,634,27865492,845,43940
2022,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,80,957,40309501,810,42117
2023,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,80,1145,46568824,782,40671
2024,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,80,1177,50478361,825,42899
2025,Travis_County,48453,"Travis County, Texas",7111,NAICS 7111 Performing arts companies,5,Private,76,,87,1190,51661121,835,43416
2001,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1379,40217997,561,29166
2002,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,5,1400,51295016,705,36644
2003,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,5,1336,56879220,819,42577
2004,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1309,48041796,706,36694
2005,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1261,50972839,777,40425
2006,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,7,1332,48913784,706,36731
2007,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,7,1343,52402735,751,39031
2008,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1395,53365144,736,38250
2009,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1371,57135252,802,41687
2010,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1418,59787310,811,42163
2011,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,5,1515,71494166,907,47186
2012,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,5,1556,71146108,879,45726
2013,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,5,1576,71474594,872,45359
2014,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,6,1520,74556686,943,49059
2015,US_national,US000,U.S. TOTAL,7111,Performing arts companies,1,Federal Government,16,,7,1182,73751469,1200,62413
2016,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,7,1186,73718680,1196,62175
2017,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1035,73110302,1358,70610
2018,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1323,75759880,1102,57278
2019,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1388,81133910,1124,58457
2020,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,711,47982767,1297,67455
2021,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,5,618,48709073,1516,78849
