SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2021HU1233400,01,03600,48,1193241,31,49,4,1,20,0,1,117000,40,52,1.0,1,01,2905.0,117000,117000,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1233858,01,05800,48,1193241,14,74,6,1,22,4800,2,1100,30,4,1.0,1,01,2850.0,5900,198700,1,1,1,Writers and Authors
2021HU1234601,02,00900,48,1193241,9,23,1,5,21,0,2,50000,40,52,1.0,1,01,2710.0,50000,50000,1,2,1,Producers and Directors
2021HU1239766,01,03501,48,1193241,12,77,6,1,19,12000,1,8000,30,52,1.0,1,02,2905.0,20000,154800,1,1,9,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1239982,01,05302,48,1193241,10,58,1,5,21,0,1,50000,40,52,1.0,1,01,2905.0,50000,51700,1,1,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1240412,03,01909,48,1193241,11,17,6,5,14,79000,1,0,40,26,6.0,1,01,2700.0,79000,79000,1,2,6,Actors
2021HU1241535,01,04502,48,1193241,24,34,1,1,21,0,2,44000,37,52,1.0,1,01,2634.0,44000,44000,1,2,1,Graphic Designers
2021HU1241602,02,04604,48,1193241,31,40,7,1,22,0,2,15000,15,20,1.0,1,01,2740.0,15000,15000,1,2,6,Dancers and Choreographers
2021HU1241988,02,01901,48,1193241,57,44,3,1,21,0,1,82000,40,52,1.0,1,01,2710.0,82000,82000,1,2,1,Producers and Directors
2021HU1242111,01,02509,48,1193241,11,31,1,5,21,0,1,51000,52,52,1.0,1,01,2710.0,51000,55700,1,2,1,Producers and Directors
2021HU1242720,03,05201,48,1193241,50,27,1,5,21,0,1,400,54,7,1.0,2,02,2700.0,400,400,2,2,9,Actors
2021HU1245416,02,03306,48,1193241,13,72,2,1,24,0,1,4500,5,1,1.0,1,01,2752.0,4500,44200,2,1,1,Musicians and Singers
