total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
4424528.71,"Lubbock Noret Premiere Cinema, LP","Lubbock Noret Premiere Cinema, LP - SVOG",109 West 4th St,Big Spring,TX,79720,Motion picture theater operator,2021-08-31
4300068.26,Triple Tap Alamo Lubbock LLC,Triple Tap Alamo Lubbock LLC - SVOG,120 W Loop 289,Lubbock,TX,77007,Motion picture theater operator,2021-08-10
4279730.6,Zachary Scott Theatre Center,Zachary Scott Theatre Center - SVOG,1510 Toomey Road,Austin,TX,78704,Live performing arts organization operator,2021-07-08
4276294.43,City Base 10 LLC,City Base 10 LLC - SVOG,2623 SE Military Dr,San Antonio,TX,78223,Motion picture theater operator,2021-07-13
4251436,Escapade 2001 Houston LLC,Escapade 2001 Houston LLC - SVOG,11903 Eastex Frwy,Houston,TX,77039,Live venue operator or promoter,2021-08-26
4221388.1,"2301 Main Operator, LLC","2301 Main Operator, LLC - SVOG",2301 Main St. Suite 400,Houston,TX,77002,Live venue operator or promoter,2021-08-25
4074757.67,RED TAIL LIVE LLC,RED TAIL LIVE LLC - SVOG,1200 SUMMIT AVENUE SUITE 330,FORT WORTH,TX,76102,Live venue operator or promoter,2021-09-23
3991045,HV LLC,HV LLC - SVOG,700 Vazquez Ln,Donna,TX,78537,Live venue operator or promoter,2021-06-21
3977821.58,"CINERGY CINEMAS, LP","CINERGY CINEMAS, LP - SVOG",5720 LBJ Freeway Suite 625,Dallas,TX,75240,Motion picture theater operator,2021-08-03
3948248.5,Alley Theatre,Alley Theatre - SVOG,615 Texas Ave.,Houston,TX,77002,Live performing arts organization operator,2021-07-02
3830559.4,"Woodlands Ops, LLC","Woodlands Ops, LLC - SVOG",16051 Old Conroe Road,Conroe,TX,77384,Motion picture theater operator,2021-08-19
3772023.5,Lava Cantina The Colony LLC,Lava Cantina The Colony LLC - SVOG,5805 Grandscape Blvd,The Colony,TX,75056,Live venue operator or promoter,2021-08-02
3758584.65,Times Square Cinema LLC,Times Square Cinema LLC - SVOG,5201 S. Broadway Suite 170,Tyler,TX,75703,Motion picture theater operator,2021-07-06
3754463.4,"Reel Dinner Partners- Laredo, LLC","Reel Dinner Partners- Laredo, LLC - SVOG",11210 East Point Drive,Laredo,TX,78006,Motion picture theater operator,2021-07-14
3749399.94,Kessler Entertainment Group LLC,Kessler Entertainment Group LLC - SVOG,1230 W Davis Street,Dallas,TX,75208,Live venue operator or promoter,2021-06-05
3708160.11,Southern USA Falun Dafa Association,Southern USA Falun Dafa Association - SVOG,7001 CORPORATE DR STE 206 Ste 206,HOUSTON,TX,77036,Live venue operator or promoter,2021-08-21
3684694.73,"RIO ENTERTAINMENT, INC.","RIO ENTERTAINMENT, INC. - SVOG",P. O. Box D,Beeville,TX,78104,Motion picture theater operator,2021-07-07
3668587.74,"The Bob Bullock Texas State History Museum, a division of the Texas St","The Bob Bullock Texas State History Museum, a division of the Texas St - SVOG",PO Box 12874,Austin,TX,78711,Museum Operator,2021-07-17
3638429.58,LJ Productions LLC,LJ Productions LLC - SVOG,1300 N 10th St Suite 480G,Mcallen,TX,78501,Live venue operator or promoter,2021-08-03
3531045.03,The Ensemble Theatre,The Ensemble Theatre - SVOG,3535 Main Street,Houston,TX,77002,Live performing arts organization operator,2021-10-03
3241819.81,SMBG - Sherman,SMBG - Sherman - SVOG,110 E FM 1417,Sherman,TX,75090,Motion picture theater operator,2021-07-25
3171870.53,"Greater Austin Performing Arts Center, Inc","Greater Austin Performing Arts Center, Inc - SVOG",701 W Riverside Dr,Austin,TX,78704,Live venue operator or promoter,2021-07-03
3135908.25,Tres Peliculas LLC,Tres Peliculas LLC - SVOG,320 West Las Colinas BVLD Suite 200,Irving,TX,75039,Motion picture theater operator,2021-07-01
3128651.25,"CINERGY ENTERTAINMENT TULSA, INC.","CINERGY ENTERTAINMENT TULSA, INC. - SVOG",5720 LBJ Freeway Suite 625,Dallas,TX,75240,Motion picture theater operator,2021-07-16
3056045.19,Hometown Cinemas LLC,Hometown Cinemas LLC - SVOG,3801 N Capital of Tx hwy E240-60,Austin,TX,78746,Motion picture theater operator,2021-06-12
3037265.1,"Sky Cinema Dripping Springs, LLC","Sky Cinema Dripping Springs, LLC - SVOG",166 Hargraves Dr,Austin,TX,78703,Motion picture theater operator,2021-07-21
2969751.15,Multievents Arena LTD,Multievents Arena LTD - SVOG,1818 RODEO DR,MESQUITE,TX,75149,Live venue operator or promoter,2021-08-27
2915053.93,SPRINGTOWN ENTERTAINMENT LLC,SPRINGTOWN ENTERTAINMENT LLC - SVOG,1250 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,Motion picture theater operator,2021-07-22
2840077.67,"FF Entertainment, LLC","FF Entertainment, LLC - SVOG",411 Radam Lane,Austin,TX,78745,Live venue operator or promoter,2021-09-21
2822892.17,Richardson Movies & Concession LLC,Richardson Movies & Concession LLC - SVOG,2661 Midway Rd STE 200,Carrollton,TX,75006,Motion picture theater operator,2022-04-08
2755664.2,Dallas Museum of Art,Dallas Museum of Art - SVOG,1717 N Harwood,Dallas,TX,75201,Museum Operator,2021-07-12
2752481.25,"WYLIE CINEMA COMPANY, LLC","WYLIE CINEMA COMPANY, LLC - SVOG",711 WOODBRIDGE PKWY,WYLIE,TX,75098,Motion picture theater operator,2021-11-22
2735144.65,"SP Weatherford Theatre, Ltd.","SP Weatherford Theatre, Ltd. - SVOG",335 Cochran Road,Weatherford,TX,76085,Motion picture theater operator,2021-07-13
2723826.6,Texas-Ohio Corporation,Texas-Ohio Corporation - SVOG,6532 E northwest Hwy.,Dallas,TX,75231,Live venue operator or promoter,2021-07-20
2680796.12,City of Allen,City of Allen - SVOG,305 CENTURY PARKWAY,ALLEN,TX,75013,Live venue operator or promoter,2021-09-07
2678788.13,Waco Hippodrome Inc,Waco Hippodrome Inc - SVOG,724 Austin Avenue,Waco,TX,76703,Live venue operator or promoter,2021-07-15
2669736.7,"Big City Entertainment, L.P.","Big City Entertainment, L.P. - SVOG",813 St Emanuel St,Houston,TX,77003,Live venue operator or promoter,2021-06-22
2644785.71,Promociones Zirandaro,Promociones Zirandaro - SVOG,21820 Gentry Rd.,Cypress,TX,77429,Live venue operator or promoter,2021-08-26
2634743.88,"C3 Management, LLC","C3 Management, LLC - SVOG","1645 E. 6th Street, Ste 150",Austin,TX,78702,Talent representative,2021-06-28
2606337.7,"Houston Grand Opera Association, Inc.","Houston Grand Opera Association, Inc. - SVOG",510 Preston St Ste. 500,Houston,TX,77002,Live performing arts organization operator,2021-07-06
2600904.6,Illusion Touring Entertainment LLC,Illusion Touring Entertainment LLC - SVOG,1300 N 10th St Suite 480-G,McAllen,TX,78501,Live venue operator or promoter,2021-08-19
2593167.75,"Power to Exhale, LLC.","Power to Exhale, LLC. - SVOG",19718 Cherrywood Bend Drive,Cypress,TX,77433,Live venue operator or promoter,2021-07-28
2590417.75,McLennan County Fair,McLennan County Fair - SVOG,4601 Bosque Blvd.,Waco,TX,76710,Live venue operator or promoter,2021-07-17
2566106.17,"Kona Coast Ventures, LTD","Kona Coast Ventures, LTD - SVOG",11860 FM 306,New Braunfels,TX,78132,Live venue operator or promoter,2021-06-21
2522800.29,GMBG2 Operating LLC,GMBG2 Operating LLC - SVOG,117 Wrangler Drive Ste 100,Coppell,TX,75019,Live venue operator or promoter,2021-07-12
2491053.6,Lady Lex Museum on the Bay Association,Lady Lex Museum on the Bay Association - SVOG,PO Box 23076,Corpus Christi,TX,78403,Museum Operator,2021-10-15
2443139,CLUB OPERATIONS LLC,CLUB OPERATIONS LLC - SVOG,10310 TECHNOLOGY BLVD E,DALLAS,TX,75220,Live venue operator or promoter,2021-08-08
2422960.98,G.C.S. Entertainment Inc.,G.C.S. Entertainment Inc. - SVOG,421 E 6TH STREET,AUSTIN,TX,78701,Live venue operator or promoter,2021-09-23
2413618.15,Dallas Theater Center,Dallas Theater Center - SVOG,2400 Flora Street 8th Floor,Dallas,TX,75201,Live performing arts organization operator,2021-07-08
2392015.18,"Casa Manana, Inc.","Casa Manana, Inc. - SVOG",3101 West Lancaster Ave,Fort Worth,TX,76107,Theatrical producer,2021-07-13
2386551.6,"Northshore Entertainment, Inc.","Northshore Entertainment, Inc. - SVOG",251 Buddy Ganem Dr,Portland,TX,78374,Motion picture theater operator,2021-07-28
2346696.13,"Highland Concerts, LLC","Highland Concerts, LLC - SVOG",PO Box 601416,Dallas,TX,75360,Live venue operator or promoter,2021-06-17
2291457.38,Houston First Corporation,Houston First Corporation - SVOG,701 Avenida de las Americas 2nd Floor,Houston,TX,77010,Live venue operator or promoter,2021-07-13
2291288.8,Fort Worth Symphony Orchestra Association,Fort Worth Symphony Orchestra Association - SVOG,"330 E 4th St, Ste 200",Fort Worth,TX,76102,Live performing arts organization operator,2021-08-18
2290058.98,Strategic Entertainment Group,Strategic Entertainment Group - SVOG,335 Cochran Rd,Weatherford,TX,76085,Motion picture theater operator,2021-08-10
2200822.65,Violet Crown Cinema Charlottesville LLC,Violet Crown Cinema Charlottesville LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-13
2153213.49,"Loyd Brigance Grass Sales, Inc. dba Majestic Theatres","Loyd Brigance Grass Sales, Inc. dba Majestic Theatres - SVOG",752 CR 3103,Greenville,TX,75402,Motion picture theater operator,2021-07-21
2150107.76,SMBG Bay City LLC,SMBG Bay City LLC - SVOG,6655 7TH Street,Bay City,TX,77414,Motion picture theater operator,2021-07-25
2136562.63,CINELOUNGE FREMONT LLC,CINELOUNGE FREMONT LLC - SVOG,3905 RUTH RIDGE ROAD,PLANO,TX,75054,Motion picture theater operator,2021-08-18
2135039.19,Ballet Austin Incorporated,Ballet Austin Incorporated - SVOG,501 West Third Street,Austin,TX,78701,Live performing arts organization operator,2021-07-21
2105035.2,SCG-CS Inc.,SCG-CS Inc. - SVOG,1037 University Drive,College Station,TX,77840,Motion picture theater operator,2021-08-20
2048018.85,Valley Zoological Society,Valley Zoological Society - SVOG,500 E Ringgold St,Brownsville,TX,78520,Museum Operator,2021-08-05
1932304.51,Global Paradise Entertainment Group LP,Global Paradise Entertainment Group LP - SVOG,1116 Bally Mote Dr,Dallas,TX,75218,Live venue operator or promoter,2021-07-21
1916892,Violet Crown Cinema Austin LLC,Violet Crown Cinema Austin LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-13
