total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
2634743.88,"C3 Management, LLC","C3 Management, LLC - SVOG","1645 E. 6th Street, Ste 150",Austin,TX,78702,Talent representative,2021-06-28
2422960.98,G.C.S. Entertainment Inc.,G.C.S. Entertainment Inc. - SVOG,421 E 6TH STREET,AUSTIN,TX,78701,Live venue operator or promoter,2021-09-23
2200822.65,Violet Crown Cinema Charlottesville LLC,Violet Crown Cinema Charlottesville LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-13
2135039.19,Ballet Austin Incorporated,Ballet Austin Incorporated - SVOG,501 West Third Street,Austin,TX,78701,Live performing arts organization operator,2021-07-21
1916892,Violet Crown Cinema Austin LLC,Violet Crown Cinema Austin LLC - SVOG,1614 W. 5th Street,Austin,TX,78703,Motion picture theater operator,2021-07-13
1900040.17,"Austin Hawk, LP","Austin Hawk, LP - SVOG",912 Red River St,Austin,TX,78701,Live venue operator or promoter,2021-07-02
1860840,"The Coliseum, Inc.","The Coliseum, Inc. - SVOG",9111 FM 812,Austin,TX,78719,Live venue operator or promoter,2021-10-30
1694786.03,Antone's Holdings LLC,Antone's Holdings LLC - SVOG,305 E 5th Street,Austin,TX,78701,Live venue operator or promoter,2021-07-09
1631256.15,Heard Entertainment Texas LLC,Heard Entertainment Texas LLC - SVOG,606 E 7th St,Austin,TX,78701,Live venue operator or promoter,2021-07-12
1616874.35,"Sherwood Forest Faire, LLC","Sherwood Forest Faire, LLC - SVOG",PO Box 339,Round Rock,TX,78680,Live venue operator or promoter,2021-06-30
1612982.21,DuOpt Bentonville Limited Liability Company,DuOpt Bentonville Limited Liability Company - SVOG,405 North Lamar Boulevard Suite 200,Austin,TX,78703,Motion picture theater operator,2021-07-23
1594516.05,Mish Mash Inc.,Mish Mash Inc. - SVOG,11506 Century Oaks Terrace,Austin,TX,78758,Live venue operator or promoter,2021-07-14
1485011.8,Triple Lake Waters LLC,Triple Lake Waters LLC - SVOG,1001 Lakewood Hills Terrace,Austin,TX,78732,Motion picture theater operator,2021-09-04
1365534.18,"Esther's Follies, Inc.","Esther's Follies, Inc. - SVOG",525 E 6th St,Austin,TX,78701,Live venue operator or promoter,2021-06-24
1146440.65,Continental South Congress Corp,Continental South Congress Corp - SVOG,1315 S. Congress Ave,Austin,TX,78704,Live venue operator or promoter,2021-07-13
1139576.25,Real Tone Agency LLC,Real Tone Agency LLC - SVOG,1130 Reagan Terrace,Austin,TX,78704,Talent representative,2021-08-23
1097766.45,"Rally in the Alley, LTD DBA Speakeasy","Rally in the Alley, LTD DBA Speakeasy - SVOG",412 Congress Avenue,Austin,TX,78768,Live venue operator or promoter,2021-08-19
1080032.4,117 CONCEPTS LLC,117 CONCEPTS LLC - SVOG,1250 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,Motion picture theater operator,2021-09-03
1036075.08,"Austin Symphony Orchestra , Inc.","Austin Symphony Orchestra , Inc. - SVOG",1806 Rio Grande,austin,TX,78701,Live performing arts organization operator,2021-07-16
1033691.63,Triple N Management LLC,Triple N Management LLC - SVOG,1001 Lakewood Hills Terrace,Austin,TX,78732,Motion picture theater operator,2021-07-08
1028758.43,Red 11 Music LLC,Red 11 Music LLC - SVOG,1617 W 6TH ST STE A,Austin,TX,78703,Talent representative,2021-06-28
1000085.45,Zpryme LLC,Zpryme LLC - SVOG,100 Congress Ave Suite 2000,Austin,TX,78701,Live venue operator or promoter,2021-10-30
987505.2,Cheer Up Charlies LLC,Cheer Up Charlies LLC - SVOG,900 Red River Street,Austin,TX,78702,Live venue operator or promoter,2021-08-16
920164.73,One World,One World - SVOG,7701 Bee Caves Rd,Austin,TX,78746,Live venue operator or promoter,2021-06-29
836058.17,TAG Presents llc,TAG Presents llc - SVOG,5010 S Congress Ave Apt 1425,Austin,TX,78745,Live venue operator or promoter,2021-07-13
821021.42,"Mammoth Mastodon, Inc.","Mammoth Mastodon, Inc. - SVOG",315 Congress Ave.,Austin,TX,78701,Live venue operator or promoter,2021-07-09
774741.58,"NUTTY BROWN ENTERPRISES, LP","NUTTY BROWN ENTERPRISES, LP - SVOG",12225 HWY 290 WEST,AUSTIN,TX,78737,Live venue operator or promoter,2021-08-22
771288.16,"Belmont, The","Belmont, The - SVOG",305 W 6th Street,Austin,TX,78701,Live venue operator or promoter,2021-08-24
