commodity,year,real_gross_output_millions_chained_2017usd
Industrial Design Services,1999,1881.742355746008
Industrial Design Services,2000,2135.732704518122
Industrial Design Services,2001,2129.8597781584026
Industrial Design Services,2002,2041.421312209111
Industrial Design Services,2003,1968.25295826258
Industrial Design Services,2004,2122.4621965169767
Industrial Design Services,2005,2115.359020745729
Industrial Design Services,2006,2081.0450800005315
Industrial Design Services,2007,2111.652574007959
Industrial Design Services,2008,2023.5585459779534
Industrial Design Services,2009,1813.3557253809925
Industrial Design Services,2010,1828.767637986048
Industrial Design Services,2011,2114.9528218471532
Industrial Design Services,2012,2180.333775177457
Industrial Design Services,2013,2250.5151629523434
Industrial Design Services,2014,2417.496541954238
Industrial Design Services,2015,2555.579344730326
Industrial Design Services,2016,2445.4421289723427
Industrial Design Services,2017,2700.555799085039
Industrial Design Services,2018,2754.7274574612493
Industrial Design Services,2019,3006.36958565153
Industrial Design Services,2020,3327.658918838876
Industrial Design Services,2021,3769.4584449876634
Industrial Design Services,2022,3976.6454531680106
Industrial Design Services,2023,4163.418035653379
Graphic Design Services,1998,12511.02447220632
Graphic Design Services,1999,12414.935418488325
Graphic Design Services,2000,12921.379779180836
Graphic Design Services,2001,11998.774558022753
Graphic Design Services,2002,10661.085895920905
Graphic Design Services,2003,10564.52290450861
Graphic Design Services,2004,10711.44988655118
Graphic Design Services,2005,11182.55749921973
Graphic Design Services,2006,11192.677046868988
Graphic Design Services,2007,11165.666525332128
Graphic Design Services,2008,10901.253362437008
Graphic Design Services,2009,9347.357303250226
Graphic Design Services,2010,9809.395532294457
Graphic Design Services,2011,10181.240124664244
Graphic Design Services,2012,10263.764487693035
Graphic Design Services,2013,10319.39531386035
Graphic Design Services,2014,11156.203737328946
Graphic Design Services,2015,11886.31577731227
Graphic Design Services,2016,12154.753957642482
Graphic Design Services,2017,12306.414224340086
Graphic Design Services,2018,12160.169930339902
Graphic Design Services,2019,13005.007027186814
Graphic Design Services,2020,13029.825406948199
Graphic Design Services,2021,15096.789966242737
Graphic Design Services,2022,17241.138726187837
Graphic Design Services,2023,18053.508223998535
Fashion Design Services,1998,1116.3831466723866
Fashion Design Services,1999,1314.5895398284451
Fashion Design Services,2000,1485.4388129736863
Fashion Design Services,2001,1428.0108239195652
Fashion Design Services,2002,1107.6730972298412
Fashion Design Services,2003,1241.150554322815
Fashion Design Services,2004,1484.392939083165
Fashion Design Services,2005,1490.040007934152
Fashion Design Services,2006,1404.869568555556
Fashion Design Services,2007,1671.998020388139
Fashion Design Services,2008,1629.9515218680508
Fashion Design Services,2009,1535.931059755448
Fashion Design Services,2010,1592.3102004711416
Fashion Design Services,2011,1884.5580307601435
Fashion Design Services,2012,2152.1894231851347
Fashion Design Services,2013,1073.1707393449587
Fashion Design Services,2014,1218.2944377889803
Fashion Design Services,2015,1263.5433677846781
Fashion Design Services,2016,1305.4710439285682
Fashion Design Services,2017,1356.1755061810964
Fashion Design Services,2018,1370.7240042700319
Fashion Design Services,2019,1455.1956774966948
Fashion Design Services,2020,1323.3678165161905
Fashion Design Services,2021,1642.9453477538914
Fashion Design Services,2022,2017.4211618234717
Fashion Design Services,2023,2108.8519163761976
Computer Systems Design,1998,1827.448082509189
Computer Systems Design,1999,2186.3538679015705
Computer Systems Design,2000,2445.441129429346
Computer Systems Design,2001,2350.6133016223575
Computer Systems Design,2002,2249.5199023854284
Computer Systems Design,2003,2292.42274082649
Computer Systems Design,2004,2408.308620857648
Computer Systems Design,2005,2707.208909429851
Computer Systems Design,2006,2904.328547821848
Computer Systems Design,2007,3341.1385377647134
Computer Systems Design,2008,3646.639340741374
Computer Systems Design,2009,3601.4819263456
Computer Systems Design,2010,4078.6401773149114
Computer Systems Design,2011,4514.415193659339
Computer Systems Design,2012,4967.134903954218
Computer Systems Design,2013,5093.078896652544
Computer Systems Design,2014,5394.05095233855
Computer Systems Design,2015,5440.97034305163
Computer Systems Design,2016,5811.489876610843
Computer Systems Design,2017,3498.39197810238
Computer Systems Design,2018,3560.926022869226
Computer Systems Design,2019,3681.504261000997
Computer Systems Design,2020,3469.1447670794946
Computer Systems Design,2021,3022.1261236548585
Computer Systems Design,2022,5573.3727941727
Computer Systems Design,2023,5865.795233384755
Photography And Photofinishing Services,1998,18831.567306464607
Photography And Photofinishing Services,1999,18507.652174193106
Photography And Photofinishing Services,2000,18287.188111449468
Photography And Photofinishing Services,2001,17704.785521439644
Photography And Photofinishing Services,2002,16738.750976705396
Photography And Photofinishing Services,2003,16653.876324779492
Photography And Photofinishing Services,2004,16189.55232868083
Photography And Photofinishing Services,2005,16016.24571303759
Photography And Photofinishing Services,2006,16087.53188639957
Photography And Photofinishing Services,2007,16495.919055036396
Photography And Photofinishing Services,2008,16086.102050424981
Photography And Photofinishing Services,2009,14513.818194736667
Photography And Photofinishing Services,2010,13923.879203140506
Photography And Photofinishing Services,2011,13636.220462459953
Photography And Photofinishing Services,2012,13745.943069416535
Photography And Photofinishing Services,2013,14032.905536884788
Photography And Photofinishing Services,2014,14768.032786387155
Photography And Photofinishing Services,2015,14581.760874395344
Photography And Photofinishing Services,2016,14552.18440441204
Photography And Photofinishing Services,2017,14967.709887129073
Photography And Photofinishing Services,2018,15683.977184028416
Photography And Photofinishing Services,2019,16287.186434888245
Photography And Photofinishing Services,2020,13890.428098177588
Photography And Photofinishing Services,2021,15632.797922904318
Photography And Photofinishing Services,2022,17800.241671776148
Photography And Photofinishing Services,2023,18550.707324725277
All Other Design Services,1998,265.9347310984295
All Other Design Services,1999,318.04585641010783
All Other Design Services,2000,365.33555316464304
All Other Design Services,2001,357.39117464798716
All Other Design Services,2002,316.47802777995526
All Other Design Services,2003,340.59480327928446
All Other Design Services,2004,391.3399566673801
All Other Design Services,2005,377.4768020099857
All Other Design Services,2006,342.05519930048337
All Other Design Services,2007,321.53808084387333
All Other Design Services,2008,313.452215743856
All Other Design Services,2009,295.37135764527864
All Other Design Services,2010,306.2135000906044
All Other Design Services,2011,362.4150059154126
All Other Design Services,2012,413.8825813817567
All Other Design Services,2013,206.37898833556923
All Other Design Services,2014,234.28739188249648
All Other Design Services,2015,242.98910918936141
All Other Design Services,2016,251.05212383241692
All Other Design Services,2017,260.8029819579031
All Other Design Services,2018,263.60077005192943
All Other Design Services,2019,279.8453225955182
All Other Design Services,2020,254.49381086849843
All Other Design Services,2021,315.95102841421
All Other Design Services,2022,387.9656080429753
All Other Design Services,2023,405.5484454569611
Fine Arts Education,1998,3050.347828514533
Fine Arts Education,1999,3289.968209911734
Fine Arts Education,2000,3658.3062668303896
Fine Arts Education,2001,3916.5837073016287
Fine Arts Education,2002,3616.6368266614677
Fine Arts Education,2003,3793.2067704227047
Fine Arts Education,2004,3960.2282568258206
Fine Arts Education,2005,4264.127214487979
Fine Arts Education,2006,4590.308887106399
Fine Arts Education,2007,5035.219246193544
Fine Arts Education,2008,5428.964335992223
Fine Arts Education,2009,5429.472732310279
Fine Arts Education,2010,5409.060898924285
Fine Arts Education,2011,5333.894043203862
Fine Arts Education,2012,5243.766606781189
Fine Arts Education,2013,5314.249589917042
Fine Arts Education,2014,5565.019723890514
Fine Arts Education,2015,5859.819732131291
Fine Arts Education,2016,6106.7028630081395
Fine Arts Education,2017,6480.551762409176
Fine Arts Education,2018,7172.438839602135
Fine Arts Education,2019,7697.421986263008
Fine Arts Education,2020,6347.162828843622
Fine Arts Education,2021,7409.801140453893
Fine Arts Education,2022,10201.270449084412
Fine Arts Education,2023,11662.80741901249
Education Services,1998,118168.71617744508
Education Services,1999,124254.566612675
Education Services,2000,132333.43451966517
Education Services,2001,140038.00774924617
Education Services,2002,142636.88865599883
Education Services,2003,134073.95105828406
Education Services,2004,127419.19934016299
Education Services,2005,119932.8379658906
Education Services,2006,113794.22618293577
Education Services,2007,108431.65070693173
Education Services,2008,111540.11641936704
Education Services,2009,111320.70559287655
Education Services,2010,111099.00719052437
Education Services,2011,109892.83086484604
Education Services,2012,109171.90552770122
Education Services,2013,111302.10317251002
Education Services,2014,112316.58932116405
Education Services,2015,113338.02891559916
Education Services,2016,114158.86592083295
Education Services,2017,113266.75481491062
Education Services,2018,116551.69798407017
Education Services,2019,120574.45689736125
Education Services,2020,124709.62196297735
Education Services,2021,130532.67717182891
Education Services,2022,139986.32458909377
Education Services,2023,141939.75053393678
Entertainment Originals,1998,51932.65048934693
Entertainment Originals,1999,54454.77993534608
Entertainment Originals,2000,58551.62752771271
Entertainment Originals,2001,57024.518785658685
Entertainment Originals,2002,59802.27548209095
Entertainment Originals,2003,65068.77131904994
Entertainment Originals,2004,66520.15933125936
Entertainment Originals,2005,72223.3600680058
Entertainment Originals,2006,73386.19638681225
Entertainment Originals,2007,72169.67093160388
Entertainment Originals,2008,67845.1007659115
Entertainment Originals,2009,65137.904238844894
Entertainment Originals,2010,71060.85628467091
Entertainment Originals,2011,70415.89777149298
Entertainment Originals,2012,72034.61417605366
Entertainment Originals,2013,72088.05064768023
Entertainment Originals,2014,75071.23408042312
Entertainment Originals,2015,78572.78023316007
Entertainment Originals,2016,82615.4297550836
Entertainment Originals,2017,85825.00000000003
Entertainment Originals,2018,89264.70556511791
Entertainment Originals,2019,90762.45826611426
Entertainment Originals,2020,87683.90369394263
Entertainment Originals,2021,88051.7060240199
Entertainment Originals,2022,97620.81686779637
Entertainment Originals,2023,102246.18028736593
Supporting Arts and Cultural Production,1998,372198.43551635445
Supporting Arts and Cultural Production,1999,405855.5552994001
Supporting Arts and Cultural Production,2000,435814.63717134995
Supporting Arts and Cultural Production,2001,438213.4670486611
Supporting Arts and Cultural Production,2002,445919.77032980055
Supporting Arts and Cultural Production,2003,458239.29776912427
Supporting Arts and Cultural Production,2004,470001.007657873
Supporting Arts and Cultural Production,2005,484203.27797989023
Supporting Arts and Cultural Production,2006,509105.69970645837
Supporting Arts and Cultural Production,2007,535680.7252367449
Supporting Arts and Cultural Production,2008,544537.9548193507
Supporting Arts and Cultural Production,2009,515863.91639310395
Supporting Arts and Cultural Production,2010,543640.3520887906
Supporting Arts and Cultural Production,2011,563124.4488055267
Supporting Arts and Cultural Production,2012,585551.2868972376
Supporting Arts and Cultural Production,2013,598682.4081558527
Supporting Arts and Cultural Production,2014,619920.9790303266
Supporting Arts and Cultural Production,2015,645527.1251405397
Supporting Arts and Cultural Production,2016,681255.7375143858
Supporting Arts and Cultural Production,2017,721454.3998314884
Supporting Arts and Cultural Production,2018,753911.0840240591
Supporting Arts and Cultural Production,2019,769889.4823258292
Supporting Arts and Cultural Production,2020,753561.1550058494
Supporting Arts and Cultural Production,2021,856908.2682256454
Supporting Arts and Cultural Production,2022,925026.5949931648
Supporting Arts and Cultural Production,2023,953479.9353564308
Art support services,1998,44903.44096675254
Art support services,1999,48003.60346640646
Art support services,2000,49041.101331357975
Art support services,2001,49375.37001222582
Art support services,2002,52372.72575579799
Art support services,2003,53064.513716498615
Art support services,2004,52884.33470886037
Art support services,2005,53406.682634868484
Art support services,2006,57498.124359891386
Art support services,2007,57208.31483093343
Art support services,2008,56501.58014052988
Art support services,2009,54128.509571649156
Art support services,2010,52428.80658214298
Art support services,2011,50388.87125187462
Art support services,2012,50697.63338819457
Art support services,2013,51754.0167997918
Art support services,2014,53373.326805612036
Art support services,2015,55562.909335614386
Art support services,2016,55914.91964675259
Art support services,2017,58474.29860286829
Art support services,2018,61651.0850315666
Art support services,2019,64785.63820927405
Art support services,2020,54342.73955516132
Art support services,2021,64803.411398006305
Art support services,2022,78569.52481143062
Art support services,2023,82192.4500320156
Rental And Leasing,1998,12106.372261095199
Rental And Leasing,1999,13360.101026272865
