date_d,idx_austin,idx_dallas,idx_houston,idx_nashville,idx_sanantonio
30jun2019,107.8376533588918,112.2953308764462,101.1789600820317,111.447120823891,106.7060867185722
31jul2019,108.2655079492234,112.6089868344316,101.4985069701613,111.99801814856,106.8784399253729
31aug2019,108.7370070629127,112.9757616922106,101.7898411270143,112.3044154313553,107.1305310354899
30sep2019,109.2316603566812,113.3586131132881,101.8629314400198,112.7821488708021,107.3660344919782
31oct2019,109.5831946400641,113.5649903431275,101.8725639271497,112.8295420397545,107.6834130445655
30nov2019,109.6689351588126,113.6922254592007,101.8054881354067,113.4043389069034,107.9041405793781
31dec2019,110.0588323790941,113.7719668954704,102.0363347145768,113.8403521011099,108.2586759100413
31jan2020,109.2159665899549,112.6176881176448,101.0641810163887,113.2565442166743,107.1981726119759
29feb2020,109.5688897264727,112.9265145413565,101.4625177149173,113.6379250870724,107.5423007729632
31mar2020,109.9906019627658,113.4226579944501,101.9025070140699,113.7638100157532,107.720055313518
30apr2020,109.4299184452191,113.3159490862233,101.6026119457192,113.7402506004959,107.6658834197154
31may2020,108.6091839046832,113.0261607614779,101.0141924114265,113.4054800136662,107.2948354175347
30jun2020,107.6650022940277,112.6530431033956,100.4307543709544,113.1722232210958,107.1104152156653
31jul2020,107.2358238682156,112.6410469199226,100.4608352813458,112.9676015334958,107.3295140027663
31aug2020,107.0128852702012,112.8108630236317,100.691994875329,113.245365963607,107.4882681936253
30sep2020,106.8561135005213,113.2270838517686,100.9588658387741,113.3128951302121,107.8088950760549
31oct2020,107.0853073085352,113.8168910127061,101.3650906642148,113.8904382053553,108.1204450852796
30nov2020,107.7589123900016,114.4337233419525,101.8205911468782,114.1230495344939,108.7688146043396
31dec2020,108.516275370718,115.2398980302582,102.1555303387295,114.7026952556647,109.4601251280419
31jan2021,104.7610498533858,110.9737394841879,98.05158655550468,110.0351399226082,105.1584710652808
28feb2021,105.8072630760764,111.9254997191494,98.27735882975726,110.8855284364818,105.5875286776255
31mar2021,107.0782127295893,112.7195376458625,98.78719507135949,111.6934157394664,106.1373463861208
30apr2021,108.7240622668694,113.9273201043143,99.56086735565873,112.9721043679956,107.125034594127
31may2021,111.0537829716507,115.4446843020896,100.833838503461,114.5718779686345,108.5090980117817
30jun2021,113.8261932234706,117.3682040281562,102.3434859729441,116.5653248732114,110.1208839772547
31jul2021,116.635581236449,119.3815517623484,103.6878703376903,118.8327878264539,111.6714198651411
31aug2021,119.6345802857719,121.5821445162391,105.0657176438235,121.2988108324147,113.4451029691812
30sep2021,122.2595491070463,123.6329908557007,106.250950059317,123.7972748725332,115.1615483670275
31oct2021,124.137692383344,125.3819238214136,107.1752012147468,125.7935147138256,116.6363712161594
30nov2021,125.2147001150332,126.9150810825723,107.9325479836811,127.179362439348,117.7301825532459
31dec2021,126.3424348647932,128.3246814313948,108.6136973739496,128.6561627561728,118.6194448344353
31jan2022,117.5664254464955,119.902356141226,101.1067697089863,120.0587778896415,110.4997920919436
28feb2022,118.5043972941757,120.8647255851428,101.7897463805286,121.2269946656152,111.3452436237133
31mar2022,119.0298006701844,121.656608656023,102.2718927319877,121.9771034288779,112.0224369472861
30apr2022,120.1329625601454,122.7685130470352,103.0096097105376,122.9835188126791,112.7500679290781
31may2022,120.8735276773086,123.8509605231006,103.4405239199687,123.8992344316891,113.2834257887665
30jun2022,121.7509150805277,125.1401942561658,103.9767396620914,124.9338621386283,113.793289669739
31jul2022,122.3183829352532,125.9101981965803,104.289176511834,125.6229883481062,114.3722518156638
31aug2022,122.276986785735,126.1857907366693,104.5170455689137,125.7425144994759,114.5167885923458
30sep2022,122.1344152581395,126.0950685823413,104.6350621788238,125.5978463421705,114.4044079551486
31oct2022,121.7539507444779,125.8247483432125,104.7308496327576,125.4749558150495,114.1589674304283
30nov2022,121.4735262544721,125.8217815257732,104.7979897671352,125.9649957381035,114.1545131464443
31dec2022,121.228491003356,125.9276316934837,105.0580547253979,126.1833947521691,114.3059588019015
31jan2023,116.5109733747014,121.1645474867261,101.1972866581043,121.6736201231759,110.1583649538151
28feb2023,116.5719931297643,121.3675780985684,101.6301310994891,121.7673960747218,110.2680501976139
31mar2023,116.8753208627582,121.8381461369656,102.1345883462859,122.2112556210905,110.6472061432736
30apr2023,116.4354681948942,121.7784032281537,102.2732022911934,122.1723962091557,110.5096672193067
31may2023,115.992367327141,121.7591535194964,102.4758205691253,122.1741406462028,110.522929576171
30jun2023,115.0776587707014,121.2557409965294,102.5002064995025,121.8135073606667,110.0533128875343
31jul2023,114.4668193139039,121.2803368662529,102.6342243059881,121.6108037757943,109.5751762496698
31aug2023,113.8909598763903,121.1703788604302,102.6170353693898,121.303209683333,109.2161550558179
30sep2023,113.3130123103764,121.224519768785,102.5388621974802,121.3550194636317,109.1372453978517
31oct2023,113.1419945862059,121.2544617995747,102.6181145302693,121.339228154934,109.3135519113073
30nov2023,113.1985519333256,121.3611821137946,102.8026122219228,121.3803054939715,109.4749940261635
31dec2023,113.2193868154726,121.3084439110661,103.03017542004,121.2870694872258,109.4666379221131
31jan2024,109.6229961725662,117.8050559705965,100.2955595888384,118.0874628781168,106.1552504364234
29feb2024,109.0304612016736,117.6181596583397,100.4381356782484,118.2501793134245,105.9347202295603
31mar2024,108.4436430408734,117.4176210292964,100.422872057971,118.5664056258388,105.7444021835844
30apr2024,108.1106106821127,117.2956114147199,100.5940372701438,118.6928364413122,105.8123508099874
31may2024,107.8028645030775,117.2655246218573,100.7629853358929,118.8794931554833,105.7920767435799
30jun2024,107.4626880097597,117.3103077547254,101.0561011426837,118.926300556119,105.8662234164511
31jul2024,107.1160359707131,117.3403774089991,101.153414263267,118.9260665594601,105.7587699803189
31aug2024,106.7084296647942,117.3955550960519,101.3389079727358,119.0029869094447,105.8302022448225
30sep2024,106.4129209149844,117.3545253141589,101.4973736115157,118.8951547939308,105.7093624429943
31oct2024,105.9770535846664,117.4233538872927,101.7089527273777,118.886537261802,105.4058084753082
30nov2024,105.6702839960543,117.3410458139673,101.8315217097738,119.0029142897919,105.0906806947449
31dec2024,105.3624101090406,117.3465215931297,101.8832551263269,119.2452783464882,105.042157329527
31jan2025,102.3878235609919,114.2687046124263,99.28330522086164,116.0992442435183,102.3701493577773
28feb2025,102.1139477654276,114.4188409267561,99.44728576392427,116.2672316695694,102.4752359428415
31mar2025,101.8990736569716,114.5905802488,99.68419142333438,116.3683179715933,102.3098145398082
30apr2025,101.5958140556653,114.6753401376992,99.70486981701421,116.460148897915,102.1878534908143
31may2025,101.4060957619831,114.6079861484105,99.53711487965063,116.224867505065,102.025669229841
30jun2025,100.9576141802453,114.4565731789319,99.11975058221427,116.0910574001553,101.8716294805399
31jul2025,100.771077852084,114.3622508926437,99.14857990522104,116.2579841507226,101.9259377042484
31aug2025,100.6927502962254,114.3690013110449,99.17570561056667,116.4803803006595,101.8338513439463
30sep2025,100.5539068765623,114.423605437148,99.25613545643856,116.6953831496323,101.7735681824995
31oct2025,100.397939361992,114.4306395566934,99.21970594257292,116.8536987866432,101.7330005937053
30nov2025,100.0601024020246,114.4591264892295,99.19260226676599,116.7758687767062,101.6504620805961
31dec2025,99.73595155122904,114.4646836939949,99.14860927793933,116.694581750378,101.4010730006718
31jan2026,97.08107015084175,111.6850193881272,96.68928535226524,113.7814507831417,98.63936525115633
28feb2026,96.97335359106715,111.6125803442524,96.5403222307534,113.6449568490865,98.33833877175894
31mar2026,96.80632438689915,111.4801459730897,96.39445519143993,113.4316812430261,98.1592857850324
30apr2026,96.71810503846761,111.4578971290351,96.37730490278091,113.3845985039756,97.90476821180287
31may2026,96.56304116795434,111.4974922534105,96.48989622531884,113.5377784380591,97.6761393359362
30jun2026,96.69174703616858,111.6423296221922,96.75266903504853,113.7287702591552,97.45740042981832
